id,time,file,behaviour,type,family,stage,comment
5,849.552,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Grouper,Adult,Barred hamlet
5,1595.767,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,intruder,Heterospecific,Grouper,Unknown,Graysby
5,1775.246,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,intruder,Heterospecific,Grouper,Adult,Barred hamlet
5,467.5,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(1).MP4,intruder,Heterospecific,Jack,Adult,Bar jack
5,1087.056,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Jack,Adult,Bar jack
5,1191.393,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Parrotfish,Adult,Redband parrotfish
5,517.65,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(1).MP4,intruder,Heterospecific,Parrotfish,Juvenile,Striped parrotfish
5,525.692,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(1).MP4,intruder,Heterospecific,Parrotfish,Adult,Redtail parrotfish
5,1073.575,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Parrotfish,Adult,Stoplight parrotfish
5,1235.37,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Parrotfish,Juvenile,Striped parrotfish
5,1410.045,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Parrotfish,Juvenile,Striped parrotfish
5,1690.428,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,intruder,Heterospecific,Parrotfish,Juvenile,Striped parrotfish
5,1724.262,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,intruder,Heterospecific,Parrotfish,Adult,Redtail parrotfish
5,1753.825,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,intruder,Heterospecific,Parrotfish,Juvenile,Striped parrotfish
5,1197.332,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Snapper,Adult,Yellowtail snapper x 2
5,534.401,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(1).MP4,aggression,None,Unknown,Unknown,
5,1035.271,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,aggression,None,Unknown,Unknown,
5,1169.805,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,aggression,None,Unknown,Unknown,
5,1319.221,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,aggression,None,Unknown,Unknown,
5,1426.097,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,aggression,None,Unknown,Unknown,
5,1532.103,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,aggression,None,Unknown,Unknown,
5,1547.786,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,aggression,None,Unknown,Unknown,
5,702.802,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(1).MP4,aggression,Heterospecific,Wrasse,Juvenile,
5,1558.029,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,aggression,Heterospecific,Wrasse,Juvenile,Bluehead wrasse
5,867.203,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Wrasse,Juvenile,Bluehead wrasse
5,897.399,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Wrasse,Juvenile,Bluehead wrasse x 3
5,901.971,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Wrasse,Juvenile,Bluehead wrasse x 3
5,1086.622,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Wrasse,Juvenile,Bluehead wrasse
5,1651.322,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,intruder,Heterospecific,Wrasse,Juvenile,Bluehead wrasse x 5
5,1699.204,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,intruder,Heterospecific,Wrasse,Juvenile,Bluehead wrasse x 2
5,1739.777,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,intruder,Heterospecific,Wrasse,Juvenile,Bluehead wrasse x 2
6,1177.179,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID6/CV_T1_ID6(2).MP4,intruder,Heterospecific,Butterflyfish,Adult,
